rep	theta	fst1	fst2	b2_e1	b2_e2
1	0.010000000000000005	0.6	0.25	0.12889656050953371	0.00011659666816193732
1	0.010000000000000005	0.6	0.5	0.2243956947620897	0.0014940513505303466
1	0.010000000000000005	0.6	0.125	0.23482499778580274	8.726580233600614e-05
1	0.01870122253538597	0.6	0.25	0.6701208385385959	0.004585326435051374
1	0.01870122253538597	0.6	0.5	0.660195925904825	0.0009780629335068736
1	0.01870122253538597	0.6	0.125	0.6712583432832309	0.0009752297566393783
1	0.03497357243180281	0.6	0.25	0.8545848799843323	5.657947770873441e-06
1	0.03497357243180281	0.6	0.5	0.8549984951309828	0.012105964130487864
1	0.03497357243180281	0.6	0.125	0.854207445551322	0.0009880474989062743
1	0.06540485609045843	0.6	0.25	0.9241255082853209	0.004083524336150632
1	0.06540485609045843	0.6	0.5	0.9195013385597107	0.5517460778413666
1	0.06540485609045843	0.6	0.125	0.9280745902335735	3.6941254325225844e-06
1	0.12231507686425569	0.6	0.25	0.9592439762136101	0.5360072875996833
1	0.12231507686425569	0.6	0.5	0.9634610762077672	0.8443006767106478
1	0.12231507686425569	0.6	0.125	0.9591750962605823	0.020432904602806255
1	0.22874414718712846	0.6	0.25	0.9799674474110872	0.8125051782152531
1	0.22874414718712846	0.6	0.5	0.983591226694549	0.9206401736083896
1	0.22874414718712846	0.6	0.125	0.9792870875150003	0.40091700262273683
1	0.4277795200213573	0.6	0.25	0.9874348883985283	0.9311179279454274
1	0.4277795200213573	0.6	0.5	0.9846197140622919	0.9641702622019127
1	0.4277795200213573	0.6	0.125	0.9890451523501509	0.8148593876015192
1	0.8	0.6	0.25	0.9868069701296164	0.9771575536032635
1	0.8	0.6	0.5	0.24730291348679634	0.2468895112313845
1	0.8	0.6	0.125	0.9881441883806263	0.9480789648790842
2	0.010000000000000005	0.6	0.25	0.3806861705505614	0.0005823088536197534
2	0.010000000000000005	0.6	0.5	0.09048070281667706	0.0008526940419263407
2	0.010000000000000005	0.6	0.125	0.14676047443573395	0.0005767843442608292
2	0.01870122253538597	0.6	0.25	0.6925418962107495	0.00012432716407016618
2	0.01870122253538597	0.6	0.5	0.6334285045566296	5.145975890844975e-06
2	0.01870122253538597	0.6	0.125	0.6553608935584591	0.00014304996917182818
2	0.03497357243180281	0.6	0.25	0.8397768833622874	7.690699836785632e-06
2	0.03497357243180281	0.6	0.5	0.8583392568886402	0.00041846463609389946
2	0.03497357243180281	0.6	0.125	0.8457195360808443	0.000455299005239601
2	0.06540485609045843	0.6	0.25	0.9262763195044541	0.013855907731623847
2	0.06540485609045843	0.6	0.5	0.925431798873612	0.4870924731473351
2	0.06540485609045843	0.6	0.125	0.9273700687445473	0.0017219939213966484
2	0.12231507686425569	0.6	0.25	0.9635286750349423	0.43539775588157026
2	0.12231507686425569	0.6	0.5	0.9596517095348204	0.8148683927841471
2	0.12231507686425569	0.6	0.125	0.9595075688570129	0.00043306085304490563
2	0.22874414718712846	0.6	0.25	0.9815858666345827	0.8282850529208031
2	0.22874414718712846	0.6	0.5	0.973599248979735	0.9242998795809306
2	0.22874414718712846	0.6	0.125	0.9804351937959207	0.5665640713364565
2	0.4277795200213573	0.6	0.25	0.988475270853766	0.9310518153580984
2	0.4277795200213573	0.6	0.5	0.9863401187367774	0.9652855226729021
2	0.4277795200213573	0.6	0.125	0.9880313367272116	0.8296133646346814
2	0.8	0.6	0.25	0.9868945665084772	0.9749065239775769
2	0.8	0.6	0.5	0.059182807463108764	0.058854200789517225
2	0.8	0.6	0.125	0.9891809450130763	0.9550173985014407
3	0.010000000000000005	0.6	0.25	0.00027791393137608034	4.371617399924125e-05
3	0.010000000000000005	0.6	0.5	0.00168734444462952	4.7950387233513484e-05
3	0.010000000000000005	0.6	0.125	0.035412248565850395	3.2203985981436514e-05
3	0.01870122253538597	0.6	0.25	0.671205705742225	9.489468683306522e-05
3	0.01870122253538597	0.6	0.5	0.6312339070048282	8.211225920634584e-05
3	0.01870122253538597	0.6	0.125	0.73888545232696	0.0002867929363398395
3	0.03497357243180281	0.6	0.25	0.8685232243803606	3.2637581395426464e-05
3	0.03497357243180281	0.6	0.5	0.8367941814575496	0.004110471671411441
3	0.03497357243180281	0.6	0.125	0.8643499539018193	0.00012693883444135658
3	0.06540485609045843	0.6	0.25	0.928259570650545	0.009420687610953066
3	0.06540485609045843	0.6	0.5	0.9196525743544619	0.5154558299011787
3	0.06540485609045843	0.6	0.125	0.9318884163336496	0.000287691048583264
3	0.12231507686425569	0.6	0.25	0.9657690415782779	0.47212590432864926
3	0.12231507686425569	0.6	0.5	0.9604467742374467	0.8387135072708218
3	0.12231507686425569	0.6	0.125	0.9675708287252119	0.007472270690116724
3	0.22874414718712846	0.6	0.25	0.9792301165895039	0.7948781702345824
3	0.22874414718712846	0.6	0.5	0.974897798823642	0.9278006529413468
3	0.22874414718712846	0.6	0.125	0.9821537557296801	0.43775210747267046
3	0.4277795200213573	0.6	0.25	0.9870927610594791	0.934228152031617
3	0.4277795200213573	0.6	0.5	0.9856221373149459	0.963303614715037
3	0.4277795200213573	0.6	0.125	0.9891103075004924	0.815433974569686
3	0.8	0.6	0.25	0.9654651306551585	0.9590617787073551
3	0.8	0.6	0.5	0.002696399433905789	0.0025797971211125336
3	0.8	0.6	0.125	0.9881246022355369	0.9608258046188773
4	0.010000000000000005	0.6	0.25	0.10081599715885414	0.0018555071587572098
4	0.010000000000000005	0.6	0.5	0.020419346711909984	6.428776229526241e-06
4	0.010000000000000005	0.6	0.125	0.07040851294840601	0.00018537249624628674
4	0.01870122253538597	0.6	0.25	0.6831602240177269	1.1275622618362904e-05
4	0.01870122253538597	0.6	0.5	0.6543560793131559	0.0010270116152445187
4	0.01870122253538597	0.6	0.125	0.6732913421975022	4.232837013305017e-06
4	0.03497357243180281	0.6	0.25	0.8557238599903286	0.0001274469593068182
4	0.03497357243180281	0.6	0.5	0.8574865348990612	0.04780355660626104
4	0.03497357243180281	0.6	0.125	0.8482406928828696	4.328208134090602e-06
