Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
A1 5000 0.01 1000 5e+06 0.78709565365186 0.000204728708725142 0.5 0.25
A2 5000 0.01 1000 5e+06 0.773569306104244 0.00199240383116179 0.5 0.25
A3 5000 0.01 1000 5e+06 0.780393247705592 0.000468826432249714 0.5 0.25
A4 5000 0.01 1000 5e+06 0.776414682760043 0.000458691386683963 0.5 0.25
A5 5000 0.01 1000 5e+06 0.767960525460361 0.000101639032357052 0.5 0.25
A6 5000 0.01 1000 5e+06 0.771472883465238 0.00161905611240777 0.5 0.25
A7 5000 0.01 1000 5e+06 0.763284809515569 4.12758259944749e-05 0.5 0.25
A8 5000 0.01 1000 5e+06 0.766286409193049 0.000280695947952845 0.5 0.25
A9 5000 0.01 1000 5e+06 0.763620643878357 0.000397865756545734 0.5 0.25
A10 5000 0.01 1000 5e+06 0.774278369990503 0.000739859083386721 0.5 0.25
A11 5000 0.01 1000 5e+06 0.773633190284319 0.00014930884486442 0.5 0.25
A12 5000 0.01 1000 5e+06 0.770612192966255 0.000605513607421032 0.5 0.25
A13 5000 0.01 1000 5e+06 0.775172511070484 0.00220609886669854 0.5 0.25
A14 5000 0.01 1000 5e+06 0.766393489778237 8.33313490662241e-07 0.5 0.25
A15 5000 0.01 1000 5e+06 0.767184889619042 0.00105203382605981 0.5 0.25
A16 5000 0.01 1000 5e+06 0.766815819056815 0.0002708041097175 0.5 0.25
A17 5000 0.01 1000 5e+06 0.769427377739371 0.00160298475044541 0.5 0.25
A18 5000 0.01 1000 5e+06 0.764491753090207 7.67616825073342e-06 0.5 0.25
A19 5000 0.01 1000 5e+06 0.764112500590665 0.00207493632946352 0.5 0.25
A20 5000 0.01 1000 5e+06 0.771864256413859 0.00163818575019 0.5 0.25
A1 5000 0.019 1000 5e+06 0.867018537139657 4.75866993798907e-05 0.5 0.25
A2 5000 0.019 1000 5e+06 0.868781047681528 0.0013109718774343 0.5 0.25
A3 5000 0.019 1000 5e+06 0.863280260745488 0.0106223984285925 0.5 0.25
A4 5000 0.019 1000 5e+06 0.860065751518459 0.00111242960000531 0.5 0.25
A5 5000 0.019 1000 5e+06 0.866502646822987 0.00183340628577569 0.5 0.25
A6 5000 0.019 1000 5e+06 0.852219836386511 0.00863580916984973 0.5 0.25
A7 5000 0.019 1000 5e+06 0.86509325976268 0.000831336577182809 0.5 0.25
A8 5000 0.019 1000 5e+06 0.869926294048466 0.00102481695551686 0.5 0.25
A9 5000 0.019 1000 5e+06 0.862443986275369 5.13444843448131e-05 0.5 0.25
A10 5000 0.019 1000 5e+06 0.866416701443068 0.00200762285008686 0.5 0.25
A11 5000 0.019 1000 5e+06 0.854216865651264 0.00100338810100067 0.5 0.25
A12 5000 0.019 1000 5e+06 0.863934883120167 0.000938052923162753 0.5 0.25
A13 5000 0.019 1000 5e+06 0.870089369808289 0.00793216765203803 0.5 0.25
