Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
A1 5e+05 0.01 1e+05 5e+10 0.985015587687373 2.90292122846353e-06 0.01 1e-04
A1 5e+05 0.05 1e+05 5e+10 0.996844203147418 1.17189464492415e-05 0.01 1e-04
A1 5e+05 0.1 1e+05 5e+10 0.99833179429343 0.000137990499138025 0.01 1e-04
A1 5e+05 0.15 1e+05 5e+10 0.998841556648701 0.000800151911071816 0.01 1e-04
A1 5e+05 0.2 1e+05 5e+10 0.999066757485454 0.0151285864611422 0.01 1e-04
A1 5e+05 0.25 1e+05 5e+10 0.999201607572712 0.0170692113083619 0.01 1e-04
A1 5e+05 0.01 1e+05 5e+10 0.984768945634988 7.03505716873443e-05 0.01 5e-04
A1 5e+05 0.05 1e+05 5e+10 0.996824478022626 0.804519833626834 0.01 5e-04
A1 5e+05 0.1 1e+05 5e+10 0.998316231814743 0.89481509324639 0.01 5e-04
A1 5e+05 0.15 1e+05 5e+10 0.99881531503765 0.926292419370182 0.01 5e-04
A1 5e+05 0.2 1e+05 5e+10 0.999057239060784 0.944231777146709 0.01 5e-04
A1 5e+05 0.25 1e+05 5e+10 0.999195261507128 0.953981609403221 0.01 5e-04
A1 5e+05 0.01 1e+05 5e+10 0.984754327130615 0.64612885695015 0.01 0.001
A1 5e+05 0.05 1e+05 5e+10 0.996780151585068 0.893938120981467 0.01 0.001
A1 5e+05 0.1 1e+05 5e+10 0.998281818349637 0.943571621549927 0.01 0.001
A1 5e+05 0.15 1e+05 5e+10 0.998790949770959 0.961368712631056 0.01 0.001
A1 5e+05 0.2 1e+05 5e+10 0.999038050358681 0.970952840761277 0.01 0.001
A1 5e+05 0.25 1e+05 5e+10 0.999192867268554 0.97660809650259 0.01 0.001
