Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
A1 50000 0.01 10000 5e+08 0.972791480457376 0.717289987605885 0.2 0.05
A2 50000 0.01 10000 5e+08 0.973451777165259 0.720202843374043 0.2 0.05
A3 50000 0.01 10000 5e+08 0.973525101946762 0.718480107027653 0.2 0.05
A4 50000 0.01 10000 5e+08 0.97246652732694 0.717624708961268 0.2 0.05
A5 50000 0.01 10000 5e+08 0.97388463922354 0.714545578873912 0.2 0.05
A6 50000 0.01 10000 5e+08 0.972681269539555 0.716673564010304 0.2 0.05
A7 50000 0.01 10000 5e+08 0.973649502582099 0.708687953725797 0.2 0.05
A8 50000 0.01 10000 5e+08 0.973526770208373 0.71734323852978 0.2 0.05
A9 50000 0.01 10000 5e+08 0.973660543752061 0.719891861591301 0.2 0.05
A10 50000 0.01 10000 5e+08 0.9726889587758 0.722735577899408 0.2 0.05
A11 50000 0.01 10000 5e+08 0.972916896434409 0.717861290643947 0.2 0.05
A12 50000 0.01 10000 5e+08 0.973689286869125 0.721016619171074 0.2 0.05
A13 50000 0.01 10000 5e+08 0.972437740633238 0.71492863007519 0.2 0.05
A14 50000 0.01 10000 5e+08 0.973063161652114 0.71836510378216 0.2 0.05
A15 50000 0.01 10000 5e+08 0.97313438365905 0.719548881366198 0.2 0.05
A16 50000 0.01 10000 5e+08 0.97258884914124 0.720659311389834 0.2 0.05
A17 50000 0.01 10000 5e+08 0.972430078747916 0.718580352181244 0.2 0.05
A18 50000 0.01 10000 5e+08 0.973453539457256 0.716764996193156 0.2 0.05
A19 50000 0.01 10000 5e+08 0.972305240789657 0.714275350501733 0.2 0.05
A20 50000 0.01 10000 5e+08 0.973000473626505 0.720693976678894 0.2 0.05
A1 50000 0.019 10000 5e+08 0.985264422327513 0.82717633719903 0.2 0.05
A2 50000 0.019 10000 5e+08 0.985529183135324 0.825439693436438 0.2 0.05
A3 50000 0.019 10000 5e+08 0.985352260584265 0.827928529624131 0.2 0.05
A4 50000 0.019 10000 5e+08 0.985197196785512 0.822027344870636 0.2 0.05
A5 50000 0.019 10000 5e+08 0.985457370387921 0.823648592388161 0.2 0.05
A6 50000 0.019 10000 5e+08 0.985609722336615 0.824283759904118 0.2 0.05
A7 50000 0.019 10000 5e+08 0.98579324376161 0.824444943194052 0.2 0.05
A8 50000 0.019 10000 5e+08 0.98560207718149 0.828013632256096 0.2 0.05
A9 50000 0.019 10000 5e+08 0.98533147471756 0.828296860014732 0.2 0.05
A10 50000 0.019 10000 5e+08 0.985272903452092 0.825996076559096 0.2 0.05
A11 50000 0.019 10000 5e+08 0.985373038779517 0.823116379774356 0.2 0.05
A12 50000 0.019 10000 5e+08 0.985525121668189 0.830251286155651 0.2 0.05
A13 50000 0.019 10000 5e+08 0.985654466810799 0.828775606876445 0.2 0.05
A14 50000 0.019 10000 5e+08 0.985484163715303 0.829477145260768 0.2 0.05
A15 50000 0.019 10000 5e+08 0.985608534689842 0.826610813128546 0.2 0.05
A16 50000 0.019 10000 5e+08 0.985767391405539 0.825821703056114 0.2 0.05
A17 50000 0.019 10000 5e+08 0.985162976780896 0.83049736063116 0.2 0.05
A18 50000 0.019 10000 5e+08 0.985382310278366 0.826370997473511 0.2 0.05
A19 50000 0.019 10000 5e+08 0.985381112183728 0.826125194981999 0.2 0.05
A20 50000 0.019 10000 5e+08 0.985212890168219 0.828505474793895 0.2 0.05
A1 50000 0.035 10000 5e+08 0.991908129953991 0.898224097764627 0.2 0.05
A2 50000 0.035 10000 5e+08 0.991822428257182 0.895467118200993 0.2 0.05
A3 50000 0.035 10000 5e+08 0.99198279937904 0.894339137337353 0.2 0.05
A4 50000 0.035 10000 5e+08 0.991630116396543 0.897729655992023 0.2 0.05
A5 50000 0.035 10000 5e+08 0.991856715581152 0.897918968089127 0.2 0.05
A6 50000 0.035 10000 5e+08 0.99196497725753 0.894607441583218 0.2 0.05
A7 50000 0.035 10000 5e+08 0.992053592626086 0.90118951594043 0.2 0.05
A8 50000 0.035 10000 5e+08 0.992038555596194 0.89677470598288 0.2 0.05
A9 50000 0.035 10000 5e+08 0.992029138972108 0.896175243247288 0.2 0.05
A10 50000 0.035 10000 5e+08 0.991999372770584 0.899798063463726 0.2 0.05
A11 50000 0.035 10000 5e+08 0.991903568648277 0.897639434740938 0.2 0.05
A12 50000 0.035 10000 5e+08 0.992065618828729 0.896910470262035 0.2 0.05
A13 50000 0.035 10000 5e+08 0.992240772879483 0.894505828524411 0.2 0.05
A14 50000 0.035 10000 5e+08 0.991943678177554 0.899023085969341 0.2 0.05
A15 50000 0.035 10000 5e+08 0.991917064970984 0.896293165539669 0.2 0.05
A16 50000 0.035 10000 5e+08 0.99204995933665 0.896807478410081 0.2 0.05
A17 50000 0.035 10000 5e+08 0.991937624474661 0.894198546680142 0.2 0.05
A18 50000 0.035 10000 5e+08 0.992102796409448 0.897500009674271 0.2 0.05
A19 50000 0.035 10000 5e+08 0.992123019199416 0.894505414505363 0.2 0.05
A20 50000 0.035 10000 5e+08 0.992122632104208 0.899563203104339 0.2 0.05
A1 50000 0.065 10000 5e+08 0.995583304730533 0.941811494271965 0.2 0.05
A2 50000 0.065 10000 5e+08 0.99547984516578 0.941887898506068 0.2 0.05
A3 50000 0.065 10000 5e+08 0.995527973755493 0.94059066197161 0.2 0.05
A4 50000 0.065 10000 5e+08 0.995614786548926 0.94342488238833 0.2 0.05
A5 50000 0.065 10000 5e+08 0.995400061577722 0.942815118680894 0.2 0.05
A6 50000 0.065 10000 5e+08 0.995606127366763 0.941169538222358 0.2 0.05
A7 50000 0.065 10000 5e+08 0.995601141881293 0.942154219516547 0.2 0.05
A8 50000 0.065 10000 5e+08 0.995479570222485 0.94181146729103 0.2 0.05
A9 50000 0.065 10000 5e+08 0.995564218778993 0.942670089586134 0.2 0.05
A10 50000 0.065 10000 5e+08 0.995574462694414 0.939981150710096 0.2 0.05
A11 50000 0.065 10000 5e+08 0.995560526817528 0.943881385670749 0.2 0.05
A12 50000 0.065 10000 5e+08 0.995536118111749 0.941449175280723 0.2 0.05
A13 50000 0.065 10000 5e+08 0.995604671906762 0.942990147327768 0.2 0.05
A14 50000 0.065 10000 5e+08 0.995540220445942 0.942580189765162 0.2 0.05
A15 50000 0.065 10000 5e+08 0.99562888945713 0.942729138175723 0.2 0.05
A16 50000 0.065 10000 5e+08 0.995646171769609 0.94271097346141 0.2 0.05
A17 50000 0.065 10000 5e+08 0.995538885405016 0.942057165516246 0.2 0.05
A18 50000 0.065 10000 5e+08 0.995488484706166 0.939705664791159 0.2 0.05
A19 50000 0.065 10000 5e+08 0.995495142719308 0.943240881537722 0.2 0.05
A20 50000 0.065 10000 5e+08 0.9956067017851 0.942690763136715 0.2 0.05
A1 50000 0.122 10000 5e+08 0.997537533628761 0.96830295668467 0.2 0.05
A2 50000 0.122 10000 5e+08 0.997614033680586 0.969173945170593 0.2 0.05
A3 50000 0.122 10000 5e+08 0.997586699175236 0.969186191448985 0.2 0.05
A4 50000 0.122 10000 5e+08 0.997504389850385 0.968782195239711 0.2 0.05
A5 50000 0.122 10000 5e+08 0.997493300545085 0.969375559633885 0.2 0.05
A6 50000 0.122 10000 5e+08 0.997510502108127 0.969701463932677 0.2 0.05
A7 50000 0.122 10000 5e+08 0.997564783002979 0.969785107242015 0.2 0.05
A8 50000 0.122 10000 5e+08 0.997493284097988 0.968616130607263 0.2 0.05
A9 50000 0.122 10000 5e+08 0.997510391143374 0.970256810479117 0.2 0.05
A10 50000 0.122 10000 5e+08 0.997574088243593 0.970083687039617 0.2 0.05
A11 50000 0.122 10000 5e+08 0.99757179805927 0.967919752370691 0.2 0.05
A12 50000 0.122 10000 5e+08 0.997572890313633 0.969595828019821 0.2 0.05
A13 50000 0.122 10000 5e+08 0.997551678134346 0.969240861039722 0.2 0.05
A14 50000 0.122 10000 5e+08 0.997415286891531 0.969363720390534 0.2 0.05
A15 50000 0.122 10000 5e+08 0.997522559287627 0.968010016105321 0.2 0.05
A16 50000 0.122 10000 5e+08 0.997554064585488 0.969481963202792 0.2 0.05
A17 50000 0.122 10000 5e+08 0.997486768810174 0.968478110228162 0.2 0.05
A18 50000 0.122 10000 5e+08 0.997571078084752 0.970458353221862 0.2 0.05
A19 50000 0.122 10000 5e+08 0.997489993138136 0.968724636388242 0.2 0.05
