expFst1 expFst2 Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
0.1 0.001 A1 1000 0.2 500 5e+05 0.966519884147406 5.24637129462995e-05 0.174671 0.00136748
0.1 0.05 A1 1000 0.2 1000 1e+06 0.978608629409914 0.932817146773709 0.175355 0.0863363
0.1 0.01 A1 1000 0.2 1000 1e+06 0.980976804068853 0.613071998917933 0.165593 0.0232838
0.1 0.005 A1 1000 0.2 1000 1e+06 0.985057951905849 0.594551003425184 0.1888635 0.0108816
0.1 0.001 A1 1000 0.2 1000 1e+06 0.986015271996602 0.0427872860639148 0.1962555 0.00276746
0.1 0.05 A1 1000 0.2 5000 5e+06 0.995343398262313 0.987939596102045 0.18223 0.101454
0.1 0.01 A1 1000 0.2 5000 5e+06 0.996631574986573 0.947973454945927 0.17942 0.0210813
0.1 0.005 A1 1000 0.2 5000 5e+06 0.997038812258978 0.891790395024568 0.194151 0.0105978
0.1 0.001 A1 1000 0.2 5000 5e+06 0.996751428933996 0.0109571175556021 0.184366 0.00151357
0.1 0.05 A1 1000 0.2 10000 1e+07 0.997841535800311 0.994288924754957 0.184573 0.0966084
0.1 0.01 A1 1000 0.2 10000 1e+07 0.998249184470167 0.974632657267623 0.1796425 0.0197596
0.1 0.005 A1 1000 0.2 10000 1e+07 0.998520882743099 0.944232471162245 0.1930965 0.0101532
0.1 0.001 A1 1000 0.2 10000 1e+07 0.998580799228307 0.488289284646722 0.184432 0.00153097
0.1 0.05 A1 1000 0.25 500 5e+05 0.964592561524214 0.913071283124416 0.201398 0.105124
0.1 0.01 A1 1000 0.25 500 5e+05 0.962963501928301 0.163280050295381 0.165659 0.0189346
0.1 0.005 A1 1000 0.25 500 5e+05 0.963488721192536 0.198056515915502 0.151506 0.0068094
0.1 0.001 A1 1000 0.25 500 5e+05 0.971423985642882 0.000142237020460552 0.1843495 0.0028209
0.1 0.05 A1 1000 0.25 1000 1e+06 0.977714921445317 0.95101405674685 0.1616055 0.0960284
0.1 0.01 A1 1000 0.25 1000 1e+06 0.984608875792641 0.788452200054056 0.1830325 0.0191387
0.1 0.005 A1 1000 0.25 1000 1e+06 0.986346626992474 0.131187985478475 0.1887185 0.00997299
0.1 0.001 A1 1000 0.25 1000 1e+06 0.985132566551348 0.0571167105852388 0.1762085 0.00190333
0.1 0.05 A1 1000 0.25 5000 5e+06 0.996318822361807 0.989536255623783 0.1901255 0.0920579
0.1 0.01 A1 1000 0.25 5000 5e+06 0.99695753708488 0.957796802475898 0.1959295 0.0205849
0.1 0.005 A1 1000 0.25 5000 5e+06 0.996915288556676 0.893970699871912 0.176371 0.00967438
0.1 0.001 A1 1000 0.25 5000 5e+06 0.997130193679373 0.0179606987719538 0.1894735 0.00177789
0.1 0.05 A1 1000 0.25 10000 1e+07 0.998145660219867 0.99473743616533 0.183629 0.0956145
0.1 0.01 A1 1000 0.25 10000 1e+07 0.99810925984386 0.977826721388841 0.1774385 0.0205059
0.1 0.005 A1 1000 0.25 10000 1e+07 0.99838023931583 0.952895346214009 0.179707 0.0103071
0.1 0.001 A1 1000 0.25 10000 1e+07 0.998486224490009 0.315596752287322 0.184428 0.00170138
0.1 0.05 A2 1000 0.05 500 5e+05 0.918568196058151 0.813854559777181 0.20256 0.0927266
0.1 0.01 A2 1000 0.05 500 5e+05 0.952122615943773 0.133281619100099 0.1876085 0.0215441
0.1 0.005 A2 1000 0.05 500 5e+05 0.965697142639746 0.0329611131252488 0.1706265 0.0162481
0.1 0.001 A2 1000 0.05 500 5e+05 0.954546448192959 0.000791730481462813 0.174872 0.00177956
0.1 0.05 A2 1000 0.05 1000 1e+06 0.974288945433384 0.938720512291277 0.1898395 0.10363
0.1 0.01 A2 1000 0.05 1000 1e+06 0.981413317719152 0.466774820068141 0.168578 0.0161666
0.1 0.005 A2 1000 0.05 1000 1e+06 0.984124405535208 0.27586792604431 0.192847 0.0104583
0.1 0.001 A2 1000 0.05 1000 1e+06 0.973959260180926 0.00215869914228787 0.1722035 0.00048395
0.1 0.05 A2 1000 0.05 5000 5e+06 0.994284952413647 0.98201731708802 0.183397 0.098396
0.1 0.01 A2 1000 0.05 5000 5e+06 0.996074005558375 0.856790923421895 0.185603 0.0198158
0.1 0.005 A2 1000 0.05 5000 5e+06 0.995707330923387 0.547772657105925 0.182468 0.00924824
0.1 0.001 A2 1000 0.05 5000 5e+06 0.995411738852856 0.0250748909928804 0.175998 0.00315041
0.1 0.05 A2 1000 0.05 10000 1e+07 0.99614642642988 0.98940694644512 0.1844615 0.0951961
0.1 0.01 A2 1000 0.05 10000 1e+07 0.998272843195496 0.947015516322 0.18461 0.0196888
0.1 0.005 A2 1000 0.05 10000 1e+07 0.998365387307426 0.797172537349744 0.182584 0.0096162
0.1 0.001 A2 1000 0.05 10000 1e+07 0.99785601128761 0.129496350048434 0.181002 0.00276323
0.1 0.05 A2 1000 0.1 500 5e+05 0.959820683152389 0.885042247243586 0.196168 0.0973902
0.1 0.01 A2 1000 0.1 500 5e+05 0.973405847531559 0.530962631463518 0.208304 0.01836
0.1 0.005 A2 1000 0.1 500 5e+05 0.961571746363416 0.0486774357515401 0.1527685 0.0109002
0.1 0.001 A2 1000 0.1 500 5e+05 0.965905448108737 0.0095058383048575 0.1706135 0.0010879
0.1 0.05 A2 1000 0.1 1000 1e+06 0.975470698455541 0.937677668840256 0.1647775 0.088572
0.1 0.01 A2 1000 0.1 1000 1e+06 0.985457216350131 0.609575304784723 0.18071 0.0157716
0.1 0.005 A2 1000 0.1 1000 1e+06 0.984524167385448 0.276482451133152 0.187015 0.0106139
0.1 0.001 A2 1000 0.1 1000 1e+06 0.982940750531682 0.0390212244885997 0.1708975 0.00185896
